strategy,status,fixed_ce,extra_ce,average_depth,k1_percent,k2_percent,k3_percent,k4_percent
Fixed R1,evaluated,6.857686536513029,6.9821667452520915,1.0,100.0,0.0,0.0,0.0
Fixed R2,evaluated,6.863241237999773,6.9618732436720165,2.0,0.0,100.0,0.0,0.0
Fixed R3,evaluated,6.872182145663828,6.96319409800041,3.0,0.0,0.0,100.0,0.0
entropy,evaluated,7.184277866182356,7.379974832023777,1.411376953125,78.643798828125,1.57470703125,19.781494140625,0.0
confidence,evaluated,7.108965896432778,7.273271933891199,1.351318359375,82.421875,0.0244140625,17.5537109375,0.0
margin,evaluated,7.110491631169793,7.308049467992532,1.3131103813648224,83.990478515625,0.7080078125,15.301513671875,0.0
Value V2,not_run_gate_failed,,,,,,,
Value+R4,not_run_gate_failed,,,,,,,
Cached Oracle R1..R3,retrospective_not_executable,6.660364357484468,6.736321867990152,1.97052001953125,34.85107421875,33.245849609375,31.903076171875,0.0
Cached Oracle R1..R8,retrospective_not_executable,6.496341634824603,6.557865399026544,2.7750244140625,27.166748046875,24.67041015625,25.47607421875,6.878662109375
