phase_step,global_step,training_tokens,learning_rate,loss,loss_text,loss_drift,ce_depth_1,ce_depth_2,ce_depth_3,grad_norm,batch_sha256
1,34244,4096,1.6666666666666668e-07,6.791316986083984,6.791221976280212,0.001898623289889656,6.796927332878113,6.791990160942078,6.784747838973999,2.28551983833313,b4faf22f506d514a6b6c6a786c8d5a9fe8f6b554f7a63ecdd5c8613f88e9c31e
2,34245,8192,3.3333333333333335e-07,6.965955078601837,6.965884745121002,0.0014051806574570946,6.9452062249183655,6.973119139671326,6.979328513145447,2.044175386428833,8a92c36a6f94cc65dd0e37d4bbdefcdd0b5c6e6fc226aacc9b51a3df30c2d971
3,34246,12288,5.000000000000001e-07,6.784952342510223,6.784876525402069,0.001515589508926496,6.777293682098389,6.795871198177338,6.7814637422561646,1.650065541267395,a7ed36ecf66815b6119be13d3911d68df9eee4fa852e1ce6e290d18806ae31e0
4,34247,16384,6.666666666666667e-07,6.624205946922302,6.624126613140106,0.001587251914315857,6.599811673164368,6.645835816860199,6.62673145532608,2.0662729740142822,b5dcc329b4cd8b5010a9248895931dceee710c67fe53df9f204f9edb7e4ae4e0
5,34248,20480,8.333333333333333e-07,6.5932265520095825,6.593154072761536,0.0014483501290669665,6.592970848083496,6.618361175060272,6.56812983751297,2.31233811378479,47d26330ec1bbd1090650b73c07712d205262a12c720e7c86ffa7d31905101d9
6,34249,24576,1.0000000000000002e-06,6.860993504524231,6.8609259724617,0.0013500512723112479,6.849647343158722,6.872465550899506,6.86066460609436,2.1226601600646973,93a220d26f41dd22a9a0cf97c863c7e3425f066c1186d5ce7ef1d563a8ba25d5
7,34250,28672,1.1666666666666668e-06,6.948404252529144,6.948329985141754,0.0014841594093013555,6.933424115180969,6.963312089443207,6.948253631591797,1.8995708227157593,d18e204fdca98d98552a07c45044f26ab7a827966d3511d3b1f6347572478527
8,34251,32768,1.3333333333333334e-06,6.925624310970306,6.9255552887916565,0.0013801682289340533,6.900277495384216,6.941411018371582,6.934976935386658,2.8091917037963867,aa4acc22580baa817b05ef8dcfdc9d8950edf35900ca6954a7b5dea5426be15b
9,34252,36864,1.5e-06,6.745287358760834,6.745195209980011,0.001841085046180524,6.729392170906067,6.745020866394043,6.761171936988831,1.9233773946762085,6e114d4cc7dc38130734e39440b1d1f95336a98c317ea2de03195d9727d989f0
10,34253,40960,1.6666666666666667e-06,7.176651298999786,7.176580309867859,0.0014212609530659392,7.167887628078461,7.1802674531936646,7.181585073471069,3.1473467350006104,cb2bf4c6ebf774012db26d67a90878c15e9b07068ac992e65079ed4b9d208d11
